"title","hit","url","content"
"박근혜 형광등? 윤석열은 무지개다",51,"https://www.clien.net/service/board/park/16678381?od=T31&po=0&category=0&groupCd","형광등으로 부족해서      무지개로 가기로 했답니다.      연합뉴스에서 그렇게 한답니다      https://m.yna.co.kr/view/PYH20211110247000054"
"특검을 하더라도 특임검사 선정에 국짐은 제외해야 합니다.",50,"https://www.clien.net/service/board/park/16678378?od=T31&po=0&category=0&groupCd","돈 받은 사람이 전부 국짐이고 박근혜 정권 인사들입니다.   그런데 특임 검사를 국짐이 임명한다는건 도둑한테 몽둥이 쥐어주는거나 마찬가집니다.   도둑이 몽둥이 들면 강도가 됩니다."
"음흉한 미소의 아저씨 만화.ㄷㄷㄷㄷㄷ",497,"https://www.clien.net/service/board/park/16678376?od=T31&po=0&category=0&groupCd","제발... 겉모습으로만..."
"오늘의 혼밥 해장, 짜장면 곱배기.jpg",434,"https://www.clien.net/service/board/park/16678374?od=T31&po=0&category=0&groupCd","식초랑 고춧가루 넣어서 먹습니다 ㅎ   역시 짜장면은 홀에 와서 먹어야 맛있어요..      (곱배기 추가금 없이 5500원.. 좋습니다)"
"오늘 곽상도사직안 처리",664,"https://www.clien.net/service/board/park/16678372?od=T31&po=0&category=0&groupCd","&nbsp;   국감중이라 못했던 사직안 오늘 처리하네요   50억 받은 사람한테는 아무리 소리 안하고 1원이라도 민간한테 빼음 사람을 욕하는 이상한 세상입니다"
"‘광주 사과 후, 전두환 인식 바뀌었나’ 질문에 답변 피한 윤석열, 어제는...",675,"https://www.clien.net/service/board/park/16678371?od=T31&po=0&category=0&groupCd","http://www.vop.co.kr/A00001602422.html                제가 어제 본 영상이 기억이 가물가물했는데..... 오늘 11월 11일이고, 어제 11월 10일 광주에서 영상입니다.&nbsp;      하여튼 이 개자식은 입만 열면 거짓말이 튀어나와요. 니가 스스로 말한지 24시간도 안 지났어요....&nbsp;"
"왜 같은 종족인데 나보다 키도 훨씬 크고 다리도 긴건지..",791,"https://www.clien.net/service/board/park/16678369?od=T31&po=0&category=0&groupCd","나만 숏다리.. 세상 불공평하네요.."
"연말까지 미국 인플레이션을 7~8% 사이로 점치는? 사람이 늘고 있군요",515,"https://www.clien.net/service/board/park/16678368?od=T31&po=0&category=0&groupCd","오늘 발표후 갑자기 11월에 7%선이 될거다 하는 말이 많아지네요..      만약 7%를 찍는다면 이때부터는 문제가 매우 심각해집니다.&nbsp;   어제는 31년만의 최대 인플레이션이였지만&nbsp;   7%를 찍으면.. 40년만에 최대 인플레이션이 됩니다&nbsp;      이 이야기는 1970년 재현이 가까워 지고 있다는 이야기이기도 합니다.."
"요수소 수입이랑 마스크 수입 다 우리가 한건데(블라인드)",1359,"https://www.clien.net/service/board/park/16678365?od=T31&po=0&category=0&groupCd","정부가 뺑이 돌면서 일해도 기레기는 삼성 띄워주느라 정부는 손놓고 삼성이 대신 나서준 척 기사쓰기 바쁘죠 ㅠㅠ"
"돌다리도 두드리는 가해자",608,"https://www.clien.net/service/board/park/16678364?od=T31&po=0&category=0&groupCd","스포츠계도 그렇고 연예계 등등 사회 전반에 학폭에 대한&nbsp;   무관용이 영향을 주기는 한듯요      뜬금없이 이름도 가물가물한 녀석이 저렇게 문자 보내면   조만간 방송 활동 혹은 기타 대외활동 기지개가 거의 100%      정말 싹수는 어릴때나 이때나 노란놈은 변하질 않는듯요   끝까지 자기 앞날을 위해 포장 하려는 사악한 놈들에게는   저렇게 막대해도 된다고 보네요&nbsp;      앞날은 모르니 착하게 까지는 힘들어도 피해주지 말고&nbsp;   평범하게 삽시다"
